loss,delay,fast_recovery,md5_hash,ttc
0.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.45443272590637207
0.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.447131872177124
0.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.4564051628112793
0.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.4524052143096924
0.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.457916259765625
0.0,20,0,fdf71b564a672fe4a624251fb365ec26,0.4485969543457031
0.0,20,0,fdf71b564a672fe4a624251fb365ec26,0.4556303024291992
0.0,20,0,fdf71b564a672fe4a624251fb365ec26,0.45552563667297363
0.0,20,0,fdf71b564a672fe4a624251fb365ec26,0.46837425231933594
0.0,20,0,fdf71b564a672fe4a624251fb365ec26,0.4539351463317871
0.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.45514869689941406
0.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.45568180084228516
0.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.45397281646728516
0.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.5488431453704834
0.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.49398374557495117
0.5,20,0,fdf71b564a672fe4a624251fb365ec26,0.45931434631347656
0.5,20,0,fdf71b564a672fe4a624251fb365ec26,0.45328640937805176
0.5,20,0,fdf71b564a672fe4a624251fb365ec26,0.45676493644714355
0.5,20,0,fdf71b564a672fe4a624251fb365ec26,1.4995794296264648
0.5,20,0,fdf71b564a672fe4a624251fb365ec26,0.45723533630371094
1.0,20,1,fdf71b564a672fe4a624251fb365ec26,1.508582353591919
1.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.4620547294616699
1.0,20,1,fdf71b564a672fe4a624251fb365ec26,1.4743871688842773
1.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.49169421195983887
1.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.4587368965148926
1.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.539576768875122
1.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.5080316066741943
1.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.5103600025177002
1.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.5450139045715332
1.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.5419526100158691
1.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.4727895259857178
1.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.491041898727417
1.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.45571470260620117
1.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.4544069766998291
1.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.49935221672058105
1.5,20,0,fdf71b564a672fe4a624251fb365ec26,1.5469703674316406
1.5,20,0,fdf71b564a672fe4a624251fb365ec26,2.5864219665527344
1.5,20,0,fdf71b564a672fe4a624251fb365ec26,1.4948163032531738
1.5,20,0,fdf71b564a672fe4a624251fb365ec26,0.46405458450317383
1.5,20,0,fdf71b564a672fe4a624251fb365ec26,0.459075927734375
2.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.4562797546386719
2.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.4633660316467285
2.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.44741225242614746
2.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.5022618770599365
2.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.4932596683502197
2.0,20,0,fdf71b564a672fe4a624251fb365ec26,0.4615797996520996
2.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.4933066368103027
2.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.5389056205749512
2.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.501119613647461
2.0,20,0,fdf71b564a672fe4a624251fb365ec26,2.5857560634613037
2.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.5265824794769287
2.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.4984612464904785
2.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.4524872303009033
2.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.49909138679504395
2.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.5363116264343262
2.5,20,0,fdf71b564a672fe4a624251fb365ec26,0.4562807083129883
2.5,20,0,fdf71b564a672fe4a624251fb365ec26,1.5013477802276611
2.5,20,0,fdf71b564a672fe4a624251fb365ec26,2.543834686279297
2.5,20,0,fdf71b564a672fe4a624251fb365ec26,2.579493761062622
2.5,20,0,fdf71b564a672fe4a624251fb365ec26,4.7210283279418945
3.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.5800836086273193
3.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.4947826862335205
3.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.5851342678070068
3.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.5362780094146729
3.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.5412063598632812
3.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.496861219406128
3.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.506028413772583
3.0,20,0,fdf71b564a672fe4a624251fb365ec26,0.4517364501953125
3.0,20,0,fdf71b564a672fe4a624251fb365ec26,0.46445178985595703
3.0,20,0,fdf71b564a672fe4a624251fb365ec26,2.581655740737915
3.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.46122002601623535
3.5,20,1,fdf71b564a672fe4a624251fb365ec26,1.6227529048919678
3.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.504838228225708
3.5,20,1,fdf71b564a672fe4a624251fb365ec26,1.6748254299163818
3.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.546015739440918
3.5,20,0,fdf71b564a672fe4a624251fb365ec26,2.582005262374878
3.5,20,0,fdf71b564a672fe4a624251fb365ec26,2.536831855773926
3.5,20,0,fdf71b564a672fe4a624251fb365ec26,1.4994924068450928
3.5,20,0,fdf71b564a672fe4a624251fb365ec26,1.4969205856323242
3.5,20,0,fdf71b564a672fe4a624251fb365ec26,4.667983531951904
4.0,20,1,fdf71b564a672fe4a624251fb365ec26,1.6807513236999512
4.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.5439908504486084
4.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.5014486312866211
4.0,20,1,fdf71b564a672fe4a624251fb365ec26,2.5435843467712402
4.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.49293994903564453
4.0,20,0,fdf71b564a672fe4a624251fb365ec26,2.548774242401123
4.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.4981510639190674
4.0,20,0,fdf71b564a672fe4a624251fb365ec26,2.548576593399048
4.0,20,0,fdf71b564a672fe4a624251fb365ec26,2.578509569168091
4.0,20,0,fdf71b564a672fe4a624251fb365ec26,3.5923588275909424
4.5,20,1,fdf71b564a672fe4a624251fb365ec26,1.6732232570648193
4.5,20,1,fdf71b564a672fe4a624251fb365ec26,1.469740390777588
4.5,20,1,fdf71b564a672fe4a624251fb365ec26,1.8015823364257812
4.5,20,1,fdf71b564a672fe4a624251fb365ec26,0.7219359874725342
4.5,20,1,fdf71b564a672fe4a624251fb365ec26,1.7183115482330322
4.5,20,0,fdf71b564a672fe4a624251fb365ec26,3.636416435241699
4.5,20,0,fdf71b564a672fe4a624251fb365ec26,1.5473408699035645
4.5,20,0,fdf71b564a672fe4a624251fb365ec26,2.535832405090332
4.5,20,0,fdf71b564a672fe4a624251fb365ec26,1.5042078495025635
4.5,20,0,fdf71b564a672fe4a624251fb365ec26,2.5847671031951904
5.0,20,1,fdf71b564a672fe4a624251fb365ec26,1.536086082458496
5.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.5466711521148682
5.0,20,1,fdf71b564a672fe4a624251fb365ec26,1.6317486763000488
5.0,20,1,fdf71b564a672fe4a624251fb365ec26,0.5878622531890869
5.0,20,1,fdf71b564a672fe4a624251fb365ec26,1.7092647552490234
5.0,20,0,fdf71b564a672fe4a624251fb365ec26,4.679380893707275
5.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.5331647396087646
5.0,20,0,fdf71b564a672fe4a624251fb365ec26,2.5832271575927734
5.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.489516019821167
5.0,20,0,fdf71b564a672fe4a624251fb365ec26,1.5459434986114502
