loss,delay,md5_hash,avg_throughput
1,0,41f064ab4fa71cadef424b0eec6c79df,1.0024708613788926
1,0,41f064ab4fa71cadef424b0eec6c79df,0.6904272305570096
1,0,41f064ab4fa71cadef424b0eec6c79df,0.6115409861688611
1,0,41f064ab4fa71cadef424b0eec6c79df,0.9678404438913596
1,0,41f064ab4fa71cadef424b0eec6c79df,1.1634091352896274
1,20,41f064ab4fa71cadef424b0eec6c79df,0.17539016150908238
1,20,41f064ab4fa71cadef424b0eec6c79df,0.17996458035443244
1,20,41f064ab4fa71cadef424b0eec6c79df,0.22709021281802644
1,20,41f064ab4fa71cadef424b0eec6c79df,0.20639068972845748
1,20,41f064ab4fa71cadef424b0eec6c79df,0.20364209383860296
1,40,41f064ab4fa71cadef424b0eec6c79df,0.09653995852351063
1,40,41f064ab4fa71cadef424b0eec6c79df,0.09487689246906704
1,40,41f064ab4fa71cadef424b0eec6c79df,0.10643220054778414
1,40,41f064ab4fa71cadef424b0eec6c79df,0.11112999059437863
1,40,41f064ab4fa71cadef424b0eec6c79df,0.12438001693094418
1,60,41f064ab4fa71cadef424b0eec6c79df,0.09360969954736496
1,60,41f064ab4fa71cadef424b0eec6c79df,0.08189345340534827
1,60,41f064ab4fa71cadef424b0eec6c79df,0.09614368886728067
1,60,41f064ab4fa71cadef424b0eec6c79df,0.08837634045644736
1,60,41f064ab4fa71cadef424b0eec6c79df,0.06925673017563697
1,80,41f064ab4fa71cadef424b0eec6c79df,0.06470715093789796
1,80,41f064ab4fa71cadef424b0eec6c79df,0.05117151023668964
1,80,41f064ab4fa71cadef424b0eec6c79df,0.03011146299149084
1,80,41f064ab4fa71cadef424b0eec6c79df,0.06189655235513922
1,80,41f064ab4fa71cadef424b0eec6c79df,0.06201270275253608
1,100,41f064ab4fa71cadef424b0eec6c79df,0.04196722865157791
1,100,41f064ab4fa71cadef424b0eec6c79df,0.040910323121992595
1,100,41f064ab4fa71cadef424b0eec6c79df,0.039258742336910096
1,100,41f064ab4fa71cadef424b0eec6c79df,0.07650114592015618
1,100,41f064ab4fa71cadef424b0eec6c79df,0.04621482000312748
1,120,41f064ab4fa71cadef424b0eec6c79df,0.03373682515213489
1,120,41f064ab4fa71cadef424b0eec6c79df,0.03879330812327194
1,120,41f064ab4fa71cadef424b0eec6c79df,0.04242382968607054
1,120,41f064ab4fa71cadef424b0eec6c79df,0.02899187829347869
1,120,41f064ab4fa71cadef424b0eec6c79df,0.03489693901978092
1,140,41f064ab4fa71cadef424b0eec6c79df,0.009124534739290462
1,140,41f064ab4fa71cadef424b0eec6c79df,0.00923695450938911
1,140,41f064ab4fa71cadef424b0eec6c79df,0.009092286413143797
1,140,41f064ab4fa71cadef424b0eec6c79df,0.009078368140089266
1,140,41f064ab4fa71cadef424b0eec6c79df,0.00914058084429501
1,160,41f064ab4fa71cadef424b0eec6c79df,0.008047909103670663
1,160,41f064ab4fa71cadef424b0eec6c79df,0.008024334738507291
1,160,41f064ab4fa71cadef424b0eec6c79df,0.008054080726118342
1,160,41f064ab4fa71cadef424b0eec6c79df,0.00829176799384442
1,160,41f064ab4fa71cadef424b0eec6c79df,0.007987747736399419
1,180,41f064ab4fa71cadef424b0eec6c79df,0.007290109841756396
1,180,41f064ab4fa71cadef424b0eec6c79df,0.007151088774946161
1,180,41f064ab4fa71cadef424b0eec6c79df,0.007092254813821302
1,180,41f064ab4fa71cadef424b0eec6c79df,0.006900165014188699
1,180,41f064ab4fa71cadef424b0eec6c79df,0.0071143822307825335
1,200,41f064ab4fa71cadef424b0eec6c79df,0.006520371565031683
1,200,41f064ab4fa71cadef424b0eec6c79df,0.006513738586412887
1,200,41f064ab4fa71cadef424b0eec6c79df,0.00640436968063766
1,200,41f064ab4fa71cadef424b0eec6c79df,0.006497212046847291
