loss,delay,md5_hash,avg_throughput
0.0,20,41f064ab4fa71cadef424b0eec6c79df,0.4600581337954787
0.0,20,41f064ab4fa71cadef424b0eec6c79df,0.4436972215501894
0.0,20,41f064ab4fa71cadef424b0eec6c79df,0.43824514036620177
0.0,20,41f064ab4fa71cadef424b0eec6c79df,0.4347114192817334
0.0,20,41f064ab4fa71cadef424b0eec6c79df,0.42346205518883634
0.5,20,41f064ab4fa71cadef424b0eec6c79df,0.27897239976361565
0.5,20,41f064ab4fa71cadef424b0eec6c79df,0.3006704666154881
0.5,20,41f064ab4fa71cadef424b0eec6c79df,0.28366552618034924
0.5,20,41f064ab4fa71cadef424b0eec6c79df,0.2840810204826941
0.5,20,41f064ab4fa71cadef424b0eec6c79df,0.2854106396695301
1.0,20,41f064ab4fa71cadef424b0eec6c79df,0.20733002357627267
1.0,20,41f064ab4fa71cadef424b0eec6c79df,0.17933121147239792
1.0,20,41f064ab4fa71cadef424b0eec6c79df,0.1574362616094728
1.0,20,41f064ab4fa71cadef424b0eec6c79df,0.18667133326010626
1.0,20,41f064ab4fa71cadef424b0eec6c79df,0.25051164818625155
1.5,20,41f064ab4fa71cadef424b0eec6c79df,0.12927598490126485
1.5,20,41f064ab4fa71cadef424b0eec6c79df,0.14800387449870586
1.5,20,41f064ab4fa71cadef424b0eec6c79df,0.1608001054134297
1.5,20,41f064ab4fa71cadef424b0eec6c79df,0.13548808159551398
1.5,20,41f064ab4fa71cadef424b0eec6c79df,0.17408837885327322
2.0,20,41f064ab4fa71cadef424b0eec6c79df,0.1311989636971503
2.0,20,41f064ab4fa71cadef424b0eec6c79df,0.10771987599192247
2.0,20,41f064ab4fa71cadef424b0eec6c79df,0.15375567010838365
2.0,20,41f064ab4fa71cadef424b0eec6c79df,0.10633579515561727
2.0,20,41f064ab4fa71cadef424b0eec6c79df,0.09606678544278208
2.5,20,41f064ab4fa71cadef424b0eec6c79df,0.08867043895324206
2.5,20,41f064ab4fa71cadef424b0eec6c79df,0.1186366743362895
2.5,20,41f064ab4fa71cadef424b0eec6c79df,0.10007406471053945
2.5,20,41f064ab4fa71cadef424b0eec6c79df,0.08411373382058542
2.5,20,41f064ab4fa71cadef424b0eec6c79df,0.0916048113282958
3.0,20,41f064ab4fa71cadef424b0eec6c79df,0.0782382690367948
3.0,20,41f064ab4fa71cadef424b0eec6c79df,0.07212744177502639
3.0,20,41f064ab4fa71cadef424b0eec6c79df,0.08197508181131943
3.0,20,41f064ab4fa71cadef424b0eec6c79df,0.05452022514103096
3.0,20,41f064ab4fa71cadef424b0eec6c79df,0.06718874227689828
3.5,20,41f064ab4fa71cadef424b0eec6c79df,0.06338004268126443
3.5,20,41f064ab4fa71cadef424b0eec6c79df,0.06555931658068766
3.5,20,41f064ab4fa71cadef424b0eec6c79df,0.07036143208787919
3.5,20,41f064ab4fa71cadef424b0eec6c79df,0.0574037537198878
3.5,20,41f064ab4fa71cadef424b0eec6c79df,0.07366776696039194
4.0,20,41f064ab4fa71cadef424b0eec6c79df,0.06559477086485832
4.0,20,41f064ab4fa71cadef424b0eec6c79df,0.05413793669152404
4.0,20,41f064ab4fa71cadef424b0eec6c79df,0.06769809194474499
4.0,20,41f064ab4fa71cadef424b0eec6c79df,0.060120367618145626
4.0,20,41f064ab4fa71cadef424b0eec6c79df,0.05884670143739276
4.5,20,41f064ab4fa71cadef424b0eec6c79df,0.06211413520325289
4.5,20,41f064ab4fa71cadef424b0eec6c79df,0.056850367151663375
4.5,20,41f064ab4fa71cadef424b0eec6c79df,0.04975269164912964
4.5,20,41f064ab4fa71cadef424b0eec6c79df,0.048805990502279295
4.5,20,41f064ab4fa71cadef424b0eec6c79df,0.052021778354790965
5.0,20,41f064ab4fa71cadef424b0eec6c79df,0.04719727047157571
5.0,20,41f064ab4fa71cadef424b0eec6c79df,0.04631023143997212
5.0,20,41f064ab4fa71cadef424b0eec6c79df,0.048832496036256466
5.0,20,41f064ab4fa71cadef424b0eec6c79df,0.051710694873065115
5.0,20,41f064ab4fa71cadef424b0eec6c79df,0.047007827379146834
